Time,Open,High,Low,Close,Volume,index
2024-02-25T23:00:00+0000,74.6,74.6,74.6,74.6,1,2024-02-25T23:00:00+0000
2024-02-26T00:00:00+0000,74.43,74.52,74.38,74.38,8,2024-02-26T00:00:00+0000
2024-02-26T01:00:00+0000,74.37,74.37,74.28,74.33,14,2024-02-26T01:00:00+0000
2024-02-26T02:00:00+0000,74.28,74.33,74.28,74.33,6,2024-02-26T02:00:00+0000
2024-02-26T03:00:00+0000,74.26,74.26,74.25,74.25,11,2024-02-26T03:00:00+0000
2024-02-26T04:00:00+0000,74.28,74.28,74.28,74.28,1,2024-02-26T04:00:00+0000
2024-02-26T05:00:00+0000,74.31,74.31,74.31,74.31,6,2024-02-26T05:00:00+0000
2024-02-26T06:00:00+0000,74.34,74.48,74.34,74.44,7,2024-02-26T06:00:00+0000
2024-02-26T07:00:00+0000,74.44,74.45,74.26,74.26,8,2024-02-26T07:00:00+0000
2024-02-26T08:00:00+0000,74.29,74.4,74.15,74.4,52,2024-02-26T08:00:00+0000
2024-02-26T09:00:00+0000,74.38,74.39,74.22,74.3,18,2024-02-26T09:00:00+0000
2024-02-26T10:00:00+0000,74.4,74.6,74.4,74.6,8,2024-02-26T10:00:00+0000
2024-02-26T11:00:00+0000,74.59,74.59,74.48,74.48,4,2024-02-26T11:00:00+0000
2024-02-26T12:00:00+0000,74.49,74.49,74.36,74.41,24,2024-02-26T12:00:00+0000
2024-02-26T13:00:00+0000,74.49,74.67,74.49,74.59,29,2024-02-26T13:00:00+0000
2024-02-26T14:00:00+0000,74.64,75.08,74.49,75.08,280,2024-02-26T14:00:00+0000
2024-02-26T15:00:00+0000,75.08,75.26,75.01,75.19,268,2024-02-26T15:00:00+0000
2024-02-26T16:00:00+0000,75.2,75.33,75.07,75.27,117,2024-02-26T16:00:00+0000
2024-02-26T17:00:00+0000,75.24,75.83,75.22,75.81,179,2024-02-26T17:00:00+0000
2024-02-26T18:00:00+0000,75.83,75.92,75.64,75.65,95,2024-02-26T18:00:00+0000
2024-02-26T19:00:00+0000,75.64,75.64,75.41,75.59,264,2024-02-26T19:00:00+0000
2024-02-26T20:00:00+0000,75.59,75.66,75.57,75.57,28,2024-02-26T20:00:00+0000
2024-02-26T21:00:00+0000,75.5,75.54,75.47,75.53,31,2024-02-26T21:00:00+0000
2024-02-26T23:00:00+0000,75.51,75.51,75.51,75.51,1,2024-02-26T23:00:00+0000
2024-02-27T00:00:00+0000,75.46,75.52,75.46,75.52,2,2024-02-27T00:00:00+0000
2024-02-27T01:00:00+0000,75.56,75.58,75.46,75.46,7,2024-02-27T01:00:00+0000
2024-02-27T02:00:00+0000,75.47,75.47,75.47,75.47,2,2024-02-27T02:00:00+0000
2024-02-27T04:00:00+0000,75.47,75.47,75.47,75.47,2,2024-02-27T04:00:00+0000
2024-02-27T05:00:00+0000,75.52,75.53,75.52,75.53,4,2024-02-27T05:00:00+0000
2024-02-27T06:00:00+0000,75.6,75.6,75.58,75.58,6,2024-02-27T06:00:00+0000
2024-02-27T07:00:00+0000,75.58,75.72,75.58,75.66,12,2024-02-27T07:00:00+0000
2024-02-27T08:00:00+0000,75.59,75.68,75.48,75.48,14,2024-02-27T08:00:00+0000
2024-02-27T09:00:00+0000,75.41,75.55,75.25,75.49,14,2024-02-27T09:00:00+0000
2024-02-27T10:00:00+0000,75.56,75.56,75.14,75.19,4,2024-02-27T10:00:00+0000
2024-02-27T11:00:00+0000,75.14,75.14,75.09,75.09,5,2024-02-27T11:00:00+0000
2024-02-27T12:00:00+0000,75.19,75.3,75.19,75.26,15,2024-02-27T12:00:00+0000
2024-02-27T13:00:00+0000,75.34,75.45,75.31,75.45,7,2024-02-27T13:00:00+0000
2024-02-27T14:00:00+0000,75.64,75.98,75.64,75.94,253,2024-02-27T14:00:00+0000
2024-02-27T15:00:00+0000,75.95,76.05,75.8,76.0,153,2024-02-27T15:00:00+0000
2024-02-27T16:00:00+0000,75.99,76.11,75.93,75.95,114,2024-02-27T16:00:00+0000
2024-02-27T17:00:00+0000,75.81,76.04,75.72,75.93,95,2024-02-27T17:00:00+0000
2024-02-27T18:00:00+0000,76.01,76.41,75.83,76.27,207,2024-02-27T18:00:00+0000
2024-02-27T19:00:00+0000,76.23,76.36,76.14,76.17,181,2024-02-27T19:00:00+0000
2024-02-27T20:00:00+0000,76.19,76.19,76.09,76.09,36,2024-02-27T20:00:00+0000
2024-02-27T21:00:00+0000,76.09,76.11,75.93,76.02,28,2024-02-27T21:00:00+0000
2024-02-27T23:00:00+0000,75.9,75.9,75.9,75.9,2,2024-02-27T23:00:00+0000
2024-02-28T00:00:00+0000,75.88,75.96,75.88,75.94,4,2024-02-28T00:00:00+0000
2024-02-28T01:00:00+0000,76.08,76.1,76.01,76.1,5,2024-02-28T01:00:00+0000
2024-02-28T03:00:00+0000,76.1,76.1,76.1,76.1,1,2024-02-28T03:00:00+0000
2024-02-28T05:00:00+0000,76.1,76.1,76.1,76.1,1,2024-02-28T05:00:00+0000
2024-02-28T06:00:00+0000,75.99,75.99,75.99,75.99,1,2024-02-28T06:00:00+0000
2024-02-28T07:00:00+0000,75.93,76.09,75.92,76.03,12,2024-02-28T07:00:00+0000
2024-02-28T08:00:00+0000,75.97,75.99,75.51,75.54,48,2024-02-28T08:00:00+0000
2024-02-28T09:00:00+0000,75.57,75.69,75.43,75.55,80,2024-02-28T09:00:00+0000
2024-02-28T10:00:00+0000,75.57,75.59,75.52,75.55,14,2024-02-28T10:00:00+0000
2024-02-28T11:00:00+0000,75.56,75.65,75.54,75.55,35,2024-02-28T11:00:00+0000
2024-02-28T12:00:00+0000,75.58,75.67,75.54,75.64,21,2024-02-28T12:00:00+0000
2024-02-28T13:00:00+0000,75.68,76.34,75.68,76.26,110,2024-02-28T13:00:00+0000
2024-02-28T14:00:00+0000,76.29,76.74,76.29,76.64,286,2024-02-28T14:00:00+0000
2024-02-28T15:00:00+0000,76.67,76.68,76.17,76.38,212,2024-02-28T15:00:00+0000
2024-02-28T16:00:00+0000,76.38,76.44,75.48,75.59,134,2024-02-28T16:00:00+0000
2024-02-28T17:00:00+0000,75.67,76.18,75.65,75.94,84,2024-02-28T17:00:00+0000
2024-02-28T18:00:00+0000,75.9,75.95,75.68,75.69,91,2024-02-28T18:00:00+0000
2024-02-28T19:00:00+0000,75.67,75.96,75.62,75.76,227,2024-02-28T19:00:00+0000
2024-02-28T20:00:00+0000,75.75,75.79,75.71,75.78,27,2024-02-28T20:00:00+0000
2024-02-28T21:00:00+0000,75.74,75.74,75.64,75.68,17,2024-02-28T21:00:00+0000
2024-02-28T23:00:00+0000,75.56,75.58,75.56,75.58,4,2024-02-28T23:00:00+0000
2024-02-29T00:00:00+0000,75.52,75.52,75.52,75.52,1,2024-02-29T00:00:00+0000
2024-02-29T01:00:00+0000,75.63,75.76,75.63,75.76,3,2024-02-29T01:00:00+0000
2024-02-29T02:00:00+0000,75.85,75.85,75.85,75.85,1,2024-02-29T02:00:00+0000
2024-02-29T03:00:00+0000,75.8,75.84,75.8,75.84,3,2024-02-29T03:00:00+0000
2024-02-29T04:00:00+0000,75.86,75.87,75.83,75.87,5,2024-02-29T04:00:00+0000
2024-02-29T05:00:00+0000,75.87,75.91,75.85,75.85,12,2024-02-29T05:00:00+0000
2024-02-29T06:00:00+0000,75.85,75.87,75.84,75.87,11,2024-02-29T06:00:00+0000
2024-02-29T07:00:00+0000,75.71,75.73,75.58,75.58,8,2024-02-29T07:00:00+0000
2024-02-29T08:00:00+0000,75.55,75.69,75.34,75.49,68,2024-02-29T08:00:00+0000
2024-02-29T09:00:00+0000,75.55,75.86,75.55,75.86,18,2024-02-29T09:00:00+0000
2024-02-29T10:00:00+0000,75.79,75.87,75.62,75.62,38,2024-02-29T10:00:00+0000
2024-02-29T11:00:00+0000,75.64,75.64,75.42,75.51,26,2024-02-29T11:00:00+0000
2024-02-29T12:00:00+0000,75.55,75.9,75.53,75.65,44,2024-02-29T12:00:00+0000
2024-02-29T13:00:00+0000,75.75,75.9,75.62,75.84,119,2024-02-29T13:00:00+0000
2024-02-29T14:00:00+0000,75.88,75.88,75.43,75.7,248,2024-02-29T14:00:00+0000
2024-02-29T15:00:00+0000,75.82,75.94,75.46,75.79,86,2024-02-29T15:00:00+0000
2024-02-29T16:00:00+0000,75.81,76.24,75.76,76.2,169,2024-02-29T16:00:00+0000
2024-02-29T17:00:00+0000,76.19,76.26,75.59,75.62,257,2024-02-29T17:00:00+0000
2024-02-29T18:00:00+0000,75.59,75.77,75.59,75.71,70,2024-02-29T18:00:00+0000
2024-02-29T19:00:00+0000,75.67,75.74,75.36,75.39,237,2024-02-29T19:00:00+0000
2024-02-29T20:00:00+0000,75.35,75.58,75.35,75.5,33,2024-02-29T20:00:00+0000
2024-02-29T21:00:00+0000,75.53,75.62,75.53,75.61,27,2024-02-29T21:00:00+0000
2024-02-29T23:00:00+0000,75.6,75.6,75.6,75.6,1,2024-02-29T23:00:00+0000
2024-03-01T00:00:00+0000,75.62,75.7,75.62,75.7,5,2024-03-01T00:00:00+0000
2024-03-01T01:00:00+0000,75.77,75.8,75.77,75.8,5,2024-03-01T01:00:00+0000
2024-03-01T02:00:00+0000,75.75,75.79,75.75,75.79,6,2024-03-01T02:00:00+0000
2024-03-01T03:00:00+0000,75.81,75.81,75.77,75.77,4,2024-03-01T03:00:00+0000
2024-03-01T04:00:00+0000,75.8,75.8,75.8,75.8,2,2024-03-01T04:00:00+0000
2024-03-01T05:00:00+0000,75.77,75.83,75.77,75.83,3,2024-03-01T05:00:00+0000
2024-03-01T06:00:00+0000,75.89,75.89,75.78,75.78,2,2024-03-01T06:00:00+0000
