Time,Open,High,Low,Close,Volume
2010-07-06T05:00:00+0000,73.36,74.83,72.15,73.06,28559
2010-07-07T05:00:00+0000,73.14,75.97,72.61,75.19,25034
2010-07-08T05:00:00+0000,75.75,77.02,75.5,76.58,34191
2010-07-09T05:00:00+0000,76.98,77.51,76.07,77.07,34367
2010-07-12T05:00:00+0000,77.21,77.33,75.47,75.87,34297
2010-07-13T05:00:00+0000,76.01,78.18,75.12,77.98,37484
2010-07-14T05:00:00+0000,78.02,78.9,77.24,77.79,44590
2010-07-15T05:00:00+0000,77.32,78.43,76.2,77.38,37826
2010-07-16T05:00:00+0000,77.69,77.9,76.03,76.8,28430
2010-07-19T05:00:00+0000,76.47,78.54,76.36,77.29,45519
2010-07-20T05:00:00+0000,77.17,78.22,76.4,77.92,48055
2010-07-21T05:00:00+0000,78.12,78.92,76.65,77.0,81213
2010-07-22T05:00:00+0000,76.87,79.76,76.6,79.64,83282
2010-07-23T05:00:00+0000,79.36,79.94,78.77,79.34,43613
2010-07-26T05:00:00+0000,79.22,79.71,78.47,79.37,35405
2010-07-27T05:00:00+0000,79.23,80.07,77.18,77.9,64388
2010-07-28T05:00:00+0000,77.41,77.93,76.33,77.44,92258
2010-07-29T05:00:00+0000,77.31,79.32,76.9,78.83,84441
2010-07-30T05:00:00+0000,78.73,79.5,77.3,79.39,52903
2010-08-02T05:00:00+0000,79.47,82.15,79.28,81.76,83313
2010-08-03T05:00:00+0000,81.81,83.07,81.52,82.99,77024
2010-08-04T05:00:00+0000,82.84,83.4,82.05,82.91,87351
2010-08-05T05:00:00+0000,82.81,82.91,81.96,82.45,84880
2010-08-06T05:00:00+0000,82.59,83.1,80.51,81.18,130202
2010-08-09T05:00:00+0000,81.49,82.22,81.19,81.95,123976
2010-08-10T05:00:00+0000,81.89,82.07,79.64,80.71,156440
2010-08-11T05:00:00+0000,80.61,80.99,77.72,78.49,174839
2010-08-12T05:00:00+0000,77.76,78.43,75.9,76.15,207419
2010-08-13T05:00:00+0000,76.16,77.12,75.41,75.77,110540
2010-08-16T05:00:00+0000,75.88,76.34,75.23,75.6,108987
2010-08-17T05:00:00+0000,75.46,77.03,75.45,76.16,239911
2010-08-18T05:00:00+0000,75.8,76.14,74.19,75.78,274746
2010-08-19T05:00:00+0000,75.66,76.47,74.32,74.77,288023
2010-08-20T05:00:00+0000,74.77,74.99,73.44,73.82,246977
2010-08-23T05:00:00+0000,73.9,74.48,72.75,73.1,252439
2010-08-24T05:00:00+0000,72.95,73.05,71.32,71.63,340994
2010-08-25T05:00:00+0000,71.47,72.97,70.76,72.52,343405
2010-08-26T05:00:00+0000,72.82,73.98,72.54,73.36,362828
2010-08-27T05:00:00+0000,73.18,75.59,72.04,75.17,477903
2010-08-30T05:00:00+0000,75.5,75.58,74.01,74.7,260666
2010-08-31T05:00:00+0000,74.07,74.73,71.53,71.92,469412
2010-09-01T05:00:00+0000,71.7,74.48,71.67,73.91,396607
2010-09-02T05:00:00+0000,73.91,75.14,73.11,75.02,340168
2010-09-03T05:00:00+0000,74.93,75.44,73.2,74.6,379300
2010-09-07T05:00:00+0000,74.3,74.63,72.63,74.09,406641
2010-09-08T05:00:00+0000,73.91,75.39,73.37,74.67,359759
2010-09-09T05:00:00+0000,74.92,75.96,73.88,74.25,372881
2010-09-10T05:00:00+0000,74.4,76.73,74.37,76.45,431370
2010-09-13T05:00:00+0000,76.36,78.04,76.36,77.19,349157
2010-09-14T05:00:00+0000,77.17,77.99,76.21,76.8,416114
2010-09-15T05:00:00+0000,76.64,76.65,74.66,76.02,356325
2010-09-16T05:00:00+0000,75.76,75.99,74.11,74.57,289281
2010-09-17T05:00:00+0000,74.47,75.25,72.75,73.66,195831
2010-09-20T05:00:00+0000,73.59,75.45,73.32,74.86,132427
2010-09-21T05:00:00+0000,74.57,74.6,72.81,73.52,29295
