Time,Open,High,Low,Close,Volume,index
2020-12-31T06:00:00+0000,48.5,48.6,48.5,48.52,20,2020-12-31T06:00:00+0000
2020-12-31T07:00:00+0000,48.55,48.55,48.45,48.48,9,2020-12-31T07:00:00+0000
2020-12-31T08:00:00+0000,48.44,48.55,48.34,48.39,36,2020-12-31T08:00:00+0000
2020-12-31T09:00:00+0000,48.39,48.5,48.31,48.43,62,2020-12-31T09:00:00+0000
2020-12-31T10:00:00+0000,48.47,48.47,48.29,48.32,71,2020-12-31T10:00:00+0000
2020-12-31T11:00:00+0000,48.31,48.31,48.1,48.12,110,2020-12-31T11:00:00+0000
2020-12-31T12:00:00+0000,48.14,48.15,47.96,48.09,188,2020-12-31T12:00:00+0000
2020-12-31T13:00:00+0000,48.13,48.23,48.04,48.16,137,2020-12-31T13:00:00+0000
2020-12-31T14:00:00+0000,48.15,48.27,48.09,48.13,499,2020-12-31T14:00:00+0000
2020-12-31T15:00:00+0000,48.14,48.29,48.03,48.29,400,2020-12-31T15:00:00+0000
2020-12-31T16:00:00+0000,48.28,48.44,48.26,48.35,295,2020-12-31T16:00:00+0000
2020-12-31T17:00:00+0000,48.34,48.47,48.24,48.26,187,2020-12-31T17:00:00+0000
2020-12-31T18:00:00+0000,48.28,48.46,48.24,48.37,246,2020-12-31T18:00:00+0000
2020-12-31T19:00:00+0000,48.38,48.74,48.37,48.6,786,2020-12-31T19:00:00+0000
2020-12-31T20:00:00+0000,48.6,48.62,48.53,48.6,138,2020-12-31T20:00:00+0000
2020-12-31T21:00:00+0000,48.62,48.66,48.53,48.6,105,2020-12-31T21:00:00+0000
2021-01-03T23:00:00+0000,48.56,48.71,48.32,48.6,313,2021-01-03T23:00:00+0000
2021-01-04T00:00:00+0000,48.63,48.66,48.57,48.58,39,2021-01-04T00:00:00+0000
2021-01-04T01:00:00+0000,48.63,48.95,48.63,48.95,165,2021-01-04T01:00:00+0000
2021-01-04T02:00:00+0000,48.99,49.5,48.92,49.32,487,2021-01-04T02:00:00+0000
2021-01-04T03:00:00+0000,49.36,49.43,49.13,49.16,149,2021-01-04T03:00:00+0000
2021-01-04T04:00:00+0000,49.2,49.27,49.14,49.24,24,2021-01-04T04:00:00+0000
2021-01-04T05:00:00+0000,49.24,49.41,49.2,49.41,81,2021-01-04T05:00:00+0000
2021-01-04T06:00:00+0000,49.41,49.89,49.41,49.58,392,2021-01-04T06:00:00+0000
2021-01-04T07:00:00+0000,49.64,49.77,49.61,49.76,72,2021-01-04T07:00:00+0000
2021-01-04T08:00:00+0000,49.78,50.01,49.59,49.82,300,2021-01-04T08:00:00+0000
2021-01-04T09:00:00+0000,49.85,49.98,48.98,49.09,434,2021-01-04T09:00:00+0000
2021-01-04T10:00:00+0000,49.11,49.27,49.06,49.21,186,2021-01-04T10:00:00+0000
2021-01-04T11:00:00+0000,49.21,49.29,49.07,49.14,160,2021-01-04T11:00:00+0000
2021-01-04T12:00:00+0000,49.14,49.14,48.4,48.51,618,2021-01-04T12:00:00+0000
2021-01-04T13:00:00+0000,48.49,49.18,48.45,49.17,606,2021-01-04T13:00:00+0000
2021-01-04T14:00:00+0000,49.17,49.29,48.43,48.88,904,2021-01-04T14:00:00+0000
2021-01-04T15:00:00+0000,48.89,48.98,47.55,47.89,1817,2021-01-04T15:00:00+0000
2021-01-04T16:00:00+0000,47.92,48.03,47.49,47.94,1234,2021-01-04T16:00:00+0000
2021-01-04T17:00:00+0000,47.94,48.05,47.73,47.89,405,2021-01-04T17:00:00+0000
2021-01-04T18:00:00+0000,47.9,48.27,47.85,48.23,294,2021-01-04T18:00:00+0000
2021-01-04T19:00:00+0000,48.23,48.24,47.54,47.79,1201,2021-01-04T19:00:00+0000
2021-01-04T20:00:00+0000,47.8,47.83,47.43,47.63,737,2021-01-04T20:00:00+0000
2021-01-04T21:00:00+0000,47.64,47.64,47.51,47.62,117,2021-01-04T21:00:00+0000
2021-01-04T23:00:00+0000,47.65,47.74,47.54,47.63,59,2021-01-04T23:00:00+0000
2021-01-05T00:00:00+0000,47.64,47.82,47.64,47.79,69,2021-01-05T00:00:00+0000
2021-01-05T01:00:00+0000,47.76,48.06,47.76,47.98,147,2021-01-05T01:00:00+0000
2021-01-05T02:00:00+0000,48.01,48.06,47.94,47.94,54,2021-01-05T02:00:00+0000
2021-01-05T03:00:00+0000,47.93,48.03,47.85,47.85,30,2021-01-05T03:00:00+0000
2021-01-05T04:00:00+0000,47.82,47.85,47.79,47.81,19,2021-01-05T04:00:00+0000
2021-01-05T05:00:00+0000,47.84,47.93,47.76,47.76,39,2021-01-05T05:00:00+0000
2021-01-05T06:00:00+0000,47.76,47.83,47.6,47.8,93,2021-01-05T06:00:00+0000
2021-01-05T07:00:00+0000,47.81,47.94,47.66,47.71,151,2021-01-05T07:00:00+0000
2021-01-05T08:00:00+0000,47.74,47.99,47.74,47.99,151,2021-01-05T08:00:00+0000
2021-01-05T09:00:00+0000,47.99,48.34,47.95,48.29,181,2021-01-05T09:00:00+0000
2021-01-05T10:00:00+0000,48.33,48.46,48.03,48.42,244,2021-01-05T10:00:00+0000
2021-01-05T11:00:00+0000,48.39,48.8,48.38,48.74,184,2021-01-05T11:00:00+0000
2021-01-05T12:00:00+0000,48.75,48.81,48.5,48.64,189,2021-01-05T12:00:00+0000
2021-01-05T13:00:00+0000,48.64,48.67,48.27,48.27,216,2021-01-05T13:00:00+0000
2021-01-05T14:00:00+0000,48.26,49.76,48.26,49.72,2392,2021-01-05T14:00:00+0000
2021-01-05T15:00:00+0000,49.67,50.2,49.67,49.95,3692,2021-01-05T15:00:00+0000
2021-01-05T16:00:00+0000,49.98,50.15,49.56,49.78,2057,2021-01-05T16:00:00+0000
2021-01-05T17:00:00+0000,49.77,50.11,49.74,50.0,1462,2021-01-05T17:00:00+0000
2021-01-05T18:00:00+0000,49.99,50.28,49.98,50.22,3617,2021-01-05T18:00:00+0000
2021-01-05T19:00:00+0000,50.21,50.29,49.96,50.07,2404,2021-01-05T19:00:00+0000
2021-01-05T20:00:00+0000,50.05,50.1,49.94,50.07,692,2021-01-05T20:00:00+0000
2021-01-05T21:00:00+0000,50.07,50.12,49.92,49.94,267,2021-01-05T21:00:00+0000
2021-01-05T23:00:00+0000,49.96,49.96,49.84,49.9,43,2021-01-05T23:00:00+0000
2021-01-06T00:00:00+0000,49.89,50.01,49.85,49.97,46,2021-01-06T00:00:00+0000
2021-01-06T01:00:00+0000,50.03,50.25,49.96,50.14,272,2021-01-06T01:00:00+0000
2021-01-06T02:00:00+0000,50.11,50.33,50.11,50.16,177,2021-01-06T02:00:00+0000
2021-01-06T03:00:00+0000,50.18,50.27,50.13,50.14,98,2021-01-06T03:00:00+0000
2021-01-06T04:00:00+0000,50.15,50.18,49.96,50.16,132,2021-01-06T04:00:00+0000
2021-01-06T05:00:00+0000,50.17,50.22,50.11,50.14,86,2021-01-06T05:00:00+0000
2021-01-06T06:00:00+0000,50.15,50.27,50.08,50.24,88,2021-01-06T06:00:00+0000
2021-01-06T07:00:00+0000,50.22,50.29,50.0,50.0,233,2021-01-06T07:00:00+0000
2021-01-06T08:00:00+0000,49.99,50.3,49.82,49.89,591,2021-01-06T08:00:00+0000
2021-01-06T09:00:00+0000,49.93,50.28,49.85,50.17,336,2021-01-06T09:00:00+0000
2021-01-06T10:00:00+0000,50.2,50.68,50.2,50.4,800,2021-01-06T10:00:00+0000
2021-01-06T11:00:00+0000,50.38,50.51,50.09,50.13,213,2021-01-06T11:00:00+0000
2021-01-06T12:00:00+0000,50.1,50.31,49.64,49.78,229,2021-01-06T12:00:00+0000
2021-01-06T13:00:00+0000,49.8,50.3,49.8,50.13,400,2021-01-06T13:00:00+0000
2021-01-06T14:00:00+0000,50.11,50.36,49.92,50.05,1114,2021-01-06T14:00:00+0000
2021-01-06T15:00:00+0000,50.06,50.52,49.92,50.4,1910,2021-01-06T15:00:00+0000
2021-01-06T16:00:00+0000,50.4,50.86,50.29,50.79,2904,2021-01-06T16:00:00+0000
2021-01-06T17:00:00+0000,50.82,50.84,50.5,50.72,1405,2021-01-06T17:00:00+0000
2021-01-06T18:00:00+0000,50.73,50.9,50.72,50.82,733,2021-01-06T18:00:00+0000
2021-01-06T19:00:00+0000,50.83,50.87,50.15,50.26,2982,2021-01-06T19:00:00+0000
2021-01-06T20:00:00+0000,50.24,50.43,49.52,50.36,1813,2021-01-06T20:00:00+0000
2021-01-06T21:00:00+0000,50.35,50.6,50.33,50.49,218,2021-01-06T21:00:00+0000
2021-01-06T23:00:00+0000,50.54,50.56,50.43,50.5,54,2021-01-06T23:00:00+0000
2021-01-07T00:00:00+0000,50.49,50.56,50.42,50.47,98,2021-01-07T00:00:00+0000
2021-01-07T01:00:00+0000,50.47,50.82,50.47,50.79,185,2021-01-07T01:00:00+0000
2021-01-07T02:00:00+0000,50.82,51.01,50.81,51.0,169,2021-01-07T02:00:00+0000
2021-01-07T03:00:00+0000,50.98,51.1,50.94,51.03,65,2021-01-07T03:00:00+0000
2021-01-07T04:00:00+0000,51.07,51.07,50.98,50.98,24,2021-01-07T04:00:00+0000
2021-01-07T05:00:00+0000,51.01,51.05,50.91,51.01,67,2021-01-07T05:00:00+0000
2021-01-07T06:00:00+0000,51.05,51.13,50.98,51.09,116,2021-01-07T06:00:00+0000
2021-01-07T07:00:00+0000,51.06,51.24,50.99,51.0,158,2021-01-07T07:00:00+0000
2021-01-07T08:00:00+0000,50.99,51.13,50.75,51.0,645,2021-01-07T08:00:00+0000
2021-01-07T09:00:00+0000,51.01,51.07,50.76,50.86,244,2021-01-07T09:00:00+0000
2021-01-07T10:00:00+0000,50.85,51.08,50.68,50.76,267,2021-01-07T10:00:00+0000
2021-01-07T11:00:00+0000,50.75,50.84,50.62,50.73,240,2021-01-07T11:00:00+0000
2021-01-07T12:00:00+0000,50.68,50.89,50.65,50.83,224,2021-01-07T12:00:00+0000
2021-01-07T13:00:00+0000,50.85,50.96,50.44,50.45,835,2021-01-07T13:00:00+0000
2021-01-07T14:00:00+0000,50.47,50.83,50.47,50.71,1644,2021-01-07T14:00:00+0000
2021-01-07T15:00:00+0000,50.71,50.95,50.57,50.95,1461,2021-01-07T15:00:00+0000
