Time,Open,High,Low,Close,Volume
2021-12-01T06:00:00+0000,67.75,67.95,67.29,67.47,182
2021-12-01T07:00:00+0000,67.5,67.88,67.15,67.78,270
2021-12-01T08:00:00+0000,67.78,68.3,67.72,67.76,404
2021-12-01T09:00:00+0000,67.73,68.5,67.73,68.47,438
2021-12-01T10:00:00+0000,68.49,68.78,68.24,68.66,301
2021-12-01T11:00:00+0000,68.62,68.62,68.23,68.5,337
2021-12-01T12:00:00+0000,68.5,68.78,68.16,68.2,471
2021-12-01T13:00:00+0000,68.19,68.19,66.95,67.14,1231
2021-12-01T14:00:00+0000,67.16,67.85,66.88,67.35,1832
2021-12-01T15:00:00+0000,67.33,68.09,67.15,67.98,1947
2021-12-01T16:00:00+0000,68.0,68.06,66.42,66.66,1838
2021-12-01T17:00:00+0000,66.69,67.12,65.84,65.98,1758
2021-12-01T18:00:00+0000,65.92,66.12,65.04,65.82,1888
2021-12-01T19:00:00+0000,65.78,65.9,64.98,65.15,1351
2021-12-01T20:00:00+0000,65.14,65.15,64.35,64.63,731
2021-12-01T21:00:00+0000,64.6,65.23,64.53,65.13,453
2021-12-01T23:00:00+0000,65.1,66.27,65.1,65.7,182
2021-12-02T00:00:00+0000,65.81,66.09,65.73,65.79,53
2021-12-02T01:00:00+0000,65.76,66.02,64.94,65.62,208
2021-12-02T02:00:00+0000,65.62,65.63,65.27,65.63,35
2021-12-02T03:00:00+0000,65.65,65.86,65.57,65.82,33
2021-12-02T04:00:00+0000,65.88,65.97,65.74,65.74,30
2021-12-02T05:00:00+0000,65.74,66.12,65.39,66.06,130
2021-12-02T06:00:00+0000,66.04,66.06,65.81,65.96,231
2021-12-02T07:00:00+0000,66.0,66.41,65.89,66.16,522
2021-12-02T08:00:00+0000,66.19,66.27,65.58,65.91,704
2021-12-02T09:00:00+0000,65.85,66.76,65.81,66.68,510
2021-12-02T10:00:00+0000,66.69,66.73,66.1,66.49,328
2021-12-02T11:00:00+0000,66.49,66.49,65.7,65.91,1153
2021-12-02T12:00:00+0000,65.91,65.94,64.65,64.92,1445
2021-12-02T13:00:00+0000,64.93,65.41,63.93,63.98,1176
2021-12-02T14:00:00+0000,63.96,64.57,62.05,64.56,6599
2021-12-02T15:00:00+0000,64.51,66.16,64.2,66.15,3742
2021-12-02T16:00:00+0000,66.19,66.47,65.48,65.96,2538
2021-12-02T17:00:00+0000,65.96,66.62,65.68,65.7,1120
2021-12-02T18:00:00+0000,65.66,65.97,65.17,65.88,1692
2021-12-02T19:00:00+0000,65.85,66.74,65.37,66.65,2156
2021-12-02T20:00:00+0000,66.68,66.81,66.3,66.41,611
2021-12-02T21:00:00+0000,66.36,66.95,66.3,66.86,266
2021-12-02T23:00:00+0000,67.06,67.41,66.7,66.85,133
2021-12-03T00:00:00+0000,66.84,66.84,66.48,66.62,26
2021-12-03T01:00:00+0000,66.61,66.61,65.9,66.57,507
2021-12-03T02:00:00+0000,66.65,66.71,66.25,66.56,81
2021-12-03T03:00:00+0000,66.65,67.3,66.53,67.18,94
2021-12-03T04:00:00+0000,67.17,67.24,67.0,67.19,30
2021-12-03T05:00:00+0000,67.24,67.4,66.93,66.99,156
2021-12-03T06:00:00+0000,67.06,67.5,66.87,67.21,65
2021-12-03T07:00:00+0000,67.19,67.43,67.08,67.34,134
2021-12-03T08:00:00+0000,67.3,68.2,67.3,67.78,935
2021-12-03T09:00:00+0000,67.78,68.15,67.66,67.78,178
2021-12-03T10:00:00+0000,67.81,67.81,67.45,67.63,129
2021-12-03T11:00:00+0000,67.6,67.77,67.35,67.71,237
2021-12-03T12:00:00+0000,67.81,67.91,67.74,67.88,323
2021-12-03T13:00:00+0000,67.85,68.15,67.61,68.13,772
2021-12-03T14:00:00+0000,68.11,68.66,67.7,68.09,1849
2021-12-03T15:00:00+0000,68.09,68.45,67.14,67.68,1735
2021-12-03T16:00:00+0000,67.71,67.84,66.75,66.9,1068
2021-12-03T17:00:00+0000,66.9,66.91,66.08,66.58,1448
2021-12-03T18:00:00+0000,66.56,66.56,65.72,65.8,1304
2021-12-03T19:00:00+0000,65.78,66.07,65.4,65.56,2413
2021-12-03T20:00:00+0000,65.5,65.94,65.28,65.93,821
2021-12-03T21:00:00+0000,65.91,66.2,65.88,65.89,126
