Time,Open,High,Low,Close,Volume,index
1970-01-01T00:00:00+0000,0.0,0.0,0.0,0.0,,1970-01-01T00:00:00+0000
2024-01-25T06:31:00+0000,73.02,73.02,73.02,73.02,1.0,2024-01-25T06:31:00+0000
2024-01-25T07:22:00+0000,73.05,73.05,73.05,73.05,1.0,2024-01-25T07:22:00+0000
2024-01-25T07:31:00+0000,73.1,73.1,73.1,73.1,1.0,2024-01-25T07:31:00+0000
2024-01-25T08:03:00+0000,73.08,73.08,73.08,73.08,1.0,2024-01-25T08:03:00+0000
2024-01-25T08:36:00+0000,73.22,73.22,73.22,73.22,2.0,2024-01-25T08:36:00+0000
2024-01-25T09:28:00+0000,73.44,73.44,73.44,73.44,1.0,2024-01-25T09:28:00+0000
2024-01-25T09:29:00+0000,73.42,73.42,73.42,73.42,1.0,2024-01-25T09:29:00+0000
2024-01-25T09:54:00+0000,73.48,73.48,73.48,73.48,1.0,2024-01-25T09:54:00+0000
2024-01-25T09:55:00+0000,73.5,73.5,73.5,73.5,1.0,2024-01-25T09:55:00+0000
2024-01-25T10:05:00+0000,73.68,73.68,73.68,73.68,1.0,2024-01-25T10:05:00+0000
2024-01-25T10:06:00+0000,73.68,73.68,73.68,73.68,1.0,2024-01-25T10:06:00+0000
2024-01-25T11:30:00+0000,73.55,73.55,73.55,73.55,1.0,2024-01-25T11:30:00+0000
2024-01-25T12:19:00+0000,73.42,73.42,73.42,73.42,1.0,2024-01-25T12:19:00+0000
2024-01-25T12:28:00+0000,73.28,73.28,73.28,73.28,1.0,2024-01-25T12:28:00+0000
2024-01-25T13:15:00+0000,73.3,73.3,73.3,73.3,1.0,2024-01-25T13:15:00+0000
2024-01-25T13:41:00+0000,73.55,73.55,73.55,73.55,1.0,2024-01-25T13:41:00+0000
2024-01-25T13:42:00+0000,73.55,73.55,73.55,73.55,1.0,2024-01-25T13:42:00+0000
2024-01-25T14:11:00+0000,73.72,73.72,73.72,73.72,3.0,2024-01-25T14:11:00+0000
2024-01-25T14:23:00+0000,73.8,73.8,73.8,73.8,3.0,2024-01-25T14:23:00+0000
2024-01-25T14:24:00+0000,73.81,73.81,73.81,73.81,4.0,2024-01-25T14:24:00+0000
2024-01-25T14:25:00+0000,73.81,73.81,73.81,73.81,1.0,2024-01-25T14:25:00+0000
2024-01-25T14:30:00+0000,73.74,73.74,73.74,73.74,2.0,2024-01-25T14:30:00+0000
2024-01-25T14:36:00+0000,73.75,73.75,73.75,73.75,1.0,2024-01-25T14:36:00+0000
2024-01-25T14:46:00+0000,73.8,73.8,73.8,73.8,1.0,2024-01-25T14:46:00+0000
2024-01-25T14:47:00+0000,73.91,73.91,73.91,73.91,1.0,2024-01-25T14:47:00+0000
2024-01-25T14:51:00+0000,73.91,73.91,73.91,73.91,2.0,2024-01-25T14:51:00+0000
2024-01-25T15:06:00+0000,73.79,73.79,73.79,73.79,1.0,2024-01-25T15:06:00+0000
2024-01-25T15:52:00+0000,73.73,73.73,73.73,73.73,1.0,2024-01-25T15:52:00+0000
2024-01-25T16:05:00+0000,73.65,73.65,73.65,73.65,1.0,2024-01-25T16:05:00+0000
2024-01-25T16:16:00+0000,73.65,73.65,73.65,73.65,1.0,2024-01-25T16:16:00+0000
2024-01-25T16:51:00+0000,73.92,73.92,73.91,73.91,2.0,2024-01-25T16:51:00+0000
2024-01-25T16:58:00+0000,73.88,73.88,73.88,73.88,1.0,2024-01-25T16:58:00+0000
2024-01-25T17:04:00+0000,73.94,73.94,73.94,73.94,1.0,2024-01-25T17:04:00+0000
2024-01-25T17:36:00+0000,73.74,73.74,73.74,73.74,1.0,2024-01-25T17:36:00+0000
2024-01-25T17:47:00+0000,73.77,73.77,73.76,73.76,2.0,2024-01-25T17:47:00+0000
2024-01-25T18:04:00+0000,73.91,73.91,73.91,73.91,2.0,2024-01-25T18:04:00+0000
2024-01-25T18:58:00+0000,74.04,74.04,74.04,74.04,1.0,2024-01-25T18:58:00+0000
2024-01-25T19:01:00+0000,74.0,74.0,74.0,74.0,44.0,2024-01-25T19:01:00+0000
2024-01-25T19:05:00+0000,73.99,73.99,73.99,73.99,1.0,2024-01-25T19:05:00+0000
