Time,Open,High,Low,Close,Volume,index
2015-09-02T05:00:00+0000,45.7,45.71,45.6,45.67,40,2015-09-02T05:00:00+0000
2015-09-02T06:00:00+0000,45.67,45.83,45.59,45.77,130,2015-09-02T06:00:00+0000
2015-09-02T07:00:00+0000,45.74,46.22,45.56,45.7,453,2015-09-02T07:00:00+0000
2015-09-02T08:00:00+0000,45.77,45.83,45.55,45.75,193,2015-09-02T08:00:00+0000
2015-09-02T09:00:00+0000,45.75,45.93,45.63,45.67,404,2015-09-02T09:00:00+0000
2015-09-02T10:00:00+0000,45.68,45.71,45.44,45.52,226,2015-09-02T10:00:00+0000
2015-09-02T11:00:00+0000,45.51,46.08,45.51,45.86,273,2015-09-02T11:00:00+0000
2015-09-02T12:00:00+0000,45.89,46.61,45.76,46.42,1147,2015-09-02T12:00:00+0000
2015-09-02T13:00:00+0000,46.44,47.65,46.44,46.61,4683,2015-09-02T13:00:00+0000
2015-09-02T14:00:00+0000,46.68,46.73,45.06,45.28,4067,2015-09-02T14:00:00+0000
2015-09-02T15:00:00+0000,45.27,45.77,44.63,44.92,3205,2015-09-02T15:00:00+0000
2015-09-02T16:00:00+0000,44.91,46.58,44.8,46.38,3113,2015-09-02T16:00:00+0000
2015-09-02T17:00:00+0000,46.33,47.1,45.93,46.6,4533,2015-09-02T17:00:00+0000
2015-09-02T18:00:00+0000,46.55,48.0,46.4,47.5,3424,2015-09-02T18:00:00+0000
2015-09-02T19:00:00+0000,47.51,47.53,47.15,47.32,975,2015-09-02T19:00:00+0000
2015-09-02T20:00:00+0000,47.35,47.64,47.11,47.13,296,2015-09-02T20:00:00+0000
2015-09-02T21:00:00+0000,47.23,47.32,47.23,47.32,41,2015-09-02T21:00:00+0000
2015-09-02T22:00:00+0000,47.34,47.43,47.13,47.43,28,2015-09-02T22:00:00+0000
2015-09-02T23:00:00+0000,47.38,47.5,47.35,47.5,45,2015-09-02T23:00:00+0000
2015-09-03T00:00:00+0000,47.5,47.5,47.2,47.22,129,2015-09-03T00:00:00+0000
2015-09-03T01:00:00+0000,47.3,47.31,47.0,47.03,37,2015-09-03T01:00:00+0000
2015-09-03T02:00:00+0000,47.02,47.11,46.95,47.07,32,2015-09-03T02:00:00+0000
